1,1,astr,hamm,1,2,4,1,0.306
1,1,astr,manh,1,2,4,1,0.237
1,2,astr,hamm,1,2,4,1,0.249
1,2,astr,manh,1,2,4,1,0.215
2,1,astr,hamm,2,3,6,2,0.256
2,1,astr,manh,2,3,6,2,0.221
2,2,astr,hamm,2,3,7,2,0.231
2,2,astr,manh,2,3,7,2,0.210
2,3,astr,hamm,2,3,7,2,0.231
2,3,astr,manh,2,3,7,2,0.216
2,4,astr,hamm,2,3,6,2,0.239
2,4,astr,manh,2,3,6,2,0.222
3,1,astr,hamm,3,4,7,3,0.239
3,1,astr,manh,3,4,7,3,0.219
3,2,astr,hamm,3,4,9,3,0.240
3,2,astr,manh,3,4,9,3,0.281
3,3,astr,hamm,3,4,10,3,0.256
3,3,astr,manh,3,4,10,3,0.243
3,4,astr,hamm,3,4,10,3,0.248
3,4,astr,manh,3,4,10,3,0.296
3,5,astr,hamm,3,4,9,3,0.246
3,5,astr,manh,3,5,10,3,0.224
3,6,astr,hamm,3,4,10,3,0.242
3,6,astr,manh,3,4,10,3,0.231
3,7,astr,hamm,3,4,10,3,0.243
3,7,astr,manh,3,4,10,3,0.218
3,8,astr,hamm,3,4,9,3,0.233
3,8,astr,manh,3,4,9,3,0.219
3,9,astr,hamm,3,4,9,3,0.240
3,9,astr,manh,3,4,9,3,0.235
3,10,astr,hamm,3,4,7,3,0.261
3,10,astr,manh,3,4,7,3,0.227
4,1,astr,hamm,4,5,9,4,0.266
4,1,astr,manh,4,5,9,4,0.408
4,2,astr,hamm,4,5,11,4,0.272
4,2,astr,manh,4,5,11,4,0.239
4,3,astr,hamm,4,5,12,4,0.269
4,3,astr,manh,4,5,12,4,0.251
4,4,astr,hamm,4,5,12,4,0.261
4,4,astr,manh,4,5,12,4,0.239
4,5,astr,hamm,4,5,12,4,0.249
4,5,astr,manh,4,5,12,4,0.226
4,6,astr,hamm,4,5,13,4,0.255
4,6,astr,manh,4,5,13,4,0.232
4,7,astr,hamm,4,5,12,4,0.276
4,7,astr,manh,4,5,12,4,0.247
4,8,astr,hamm,4,5,13,4,0.338
4,8,astr,manh,4,5,13,4,0.236
